Genus_&_Specie,Time,Location,Current_Country,Cranial_Capacity,Height,Incisor_Size,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,Diet,Hip
Australopithecus Anamensis,4.85533002,Africa,Kenya,284.40936,117.14755,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.85064741,Africa,Kenya,219.31642,125.65302,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.8490228,Africa,Kenya,392.49939,127.73883,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.844122,Africa,Kenya,274.21894,128.03812,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.84088397,Africa,Kenya,230.49047,115.72417,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.8408796,Africa,Kenya,373.5644,127.15947,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.84009016,Africa,Kenya,349.28853,128.99677,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.83807191,Africa,Kenya,409.40091,121.63885,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.83764281,Africa,Kenya,397.05985,110.61502,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.83459773,Africa,Kenya,239.0939,115.98006,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.83369286,Africa,Kenya,261.56713,120.24258,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.83317824,Africa,Kenya,383.75861,121.1113,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.83047843,Africa,Kenya,329.63274,110.0047,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.82884834,Africa,Kenya,241.25416,127.53937,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.82867055,Africa,Kenya,222.27181,114.31508,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.82721808,Africa,Kenya,401.89384,118.06142,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.82469087,Africa,Kenya,364.88212,116.55769,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.82308553,Africa,Kenya,366.00826,121.76992,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.82051884,Africa,Kenya,448.41269,128.06668,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.8177533,Africa,Kenya,295.99277,119.75569,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.81558461,Africa,Kenya,321.57389,119.99124,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.81271653,Africa,Kenya,201.22503,126.08972,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.81092849,Africa,Kenya,499.76716,114.06564,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.805242,Africa,Kenya,378.37784,110.67223,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.80122441,Africa,Kenya,302.59601,128.07747,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.79569418,Africa,Kenya,453.85423,115.99426,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.79143373,Africa,Kenya,425.63313,113.07874,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.78509697,Africa,Kenya,418.53071,116.80438,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.78468007,Africa,Kenya,441.16211,115.28602,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.78463865,Africa,Kenya,290.66245,128.74588,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.78463544,Africa,Kenya,491.38484,119.22263,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.78301257,Africa,Kenya,425.07843,112.98769,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.78189383,Africa,Kenya,334.10337,120.77368,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.78085815,Africa,Kenya,442.98433,129.72859,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.78024218,Africa,Kenya,418.20145,111.41536,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.78020871,Africa,Kenya,206.28765,123.82159,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.77756871,Africa,Kenya,421.30517,121.62375,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.77094928,Africa,Kenya,499.50061,127.8746,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.76935262,Africa,Kenya,262.91949,115.62657,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.76932583,Africa,Kenya,348.24564,116.20041,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.76615453,Africa,Kenya,464.69816,121.38176,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.76575794,Africa,Kenya,200.4168,122.90488,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.76534713,Africa,Kenya,256.81299,118.91714,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.76464096,Africa,Kenya,407.70956,122.60741,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.75954208,Africa,Kenya,262.18751,126.79371,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.75822066,Africa,Kenya,249.48125,124.51528,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.75775891,Africa,Kenya,415.32488,124.00718,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.75665206,Africa,Kenya,487.72404,111.72264,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.75530837,Africa,Kenya,415.66919,123.95151,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.75337138,Africa,Kenya,447.99147,129.48828,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.75306429,Africa,Kenya,299.50489,120.03446,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.75232523,Africa,Kenya,428.95733,124.28545,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.75207897,Africa,Kenya,205.93971,120.62784,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.75064774,Africa,Kenya,495.91521,127.7402,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.74898388,Africa,Kenya,493.50487,111.71863,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.74882528,Africa,Kenya,291.64406,110.66188,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.74854973,Africa,Kenya,200.09323,114.89592,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.74747494,Africa,Kenya,216.21542,115.16316,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.74320202,Africa,Kenya,224.1293,119.13784,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.7420149,Africa,Kenya,389.87092,116.10722,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.73638812,Africa,Kenya,364.87358,116.74051,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.73628014,Africa,Kenya,342.45468,123.65682,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.73624066,Africa,Kenya,395.91512,117.80761,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.73597494,Africa,Kenya,238.14567,122.34503,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.73464388,Africa,Kenya,207.8111,128.57203,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.73388797,Africa,Kenya,220.35031,115.9702,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.73252444,Africa,Kenya,236.85562,118.64887,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.72922927,Africa,Kenya,269.94054,112.37017,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.7267247,Africa,Kenya,271.81487,110.42366,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.71300926,Africa,Kenya,376.55078,124.67567,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.71183239,Africa,Kenya,430.58741,127.3475,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.71103905,Africa,Kenya,332.81731,116.61594,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.70202022,Africa,Kenya,277.20804,116.51669,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.70009603,Africa,Kenya,321.1599,127.96411,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.69968888,Africa,Ethiopia,197.84471,106.46327,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.69767905,Africa,Ethiopia,248.23444,119.5561,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.69752256,Africa,Ethiopia,364.81645,119.83178,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.69682026,Africa,Kenya,224.71673,116.70572,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.69679655,Africa,Kenya,251.46529,122.40721,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.69588634,Africa,Kenya,414.09294,120.35017,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.69291977,Africa,Kenya,242.92691,114.35703,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.69022609,Africa,Kenya,335.45217,127.00949,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.69017908,Africa,Ethiopia,316.4904,112.276,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.68976465,Africa,Kenya,374.74275,114.24059,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.68970403,Africa,Ethiopia,167.59083,118.95253,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.68961676,Africa,Kenya,401.75912,120.10104,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.68805005,Africa,Kenya,276.45396,120.12658,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.6869876,Africa,Ethiopia,336.20368,103.12313,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.68682053,Africa,Kenya,399.19175,126.95361,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.68534378,Africa,Ethiopia,302.79791,116.56679,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.68507366,Africa,Ethiopia,408.12891,106.31176,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.6839841,Africa,Kenya,339.42491,124.58828,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.68349607,Africa,Kenya,377.12074,111.86496,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.67734413,Africa,Ethiopia,449.78877,114.12224,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.6772104,Africa,Kenya,343.61973,112.11455,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.67705626,Africa,Ethiopia,215.11191,119.47453,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.67530646,Africa,Ethiopia,436.06618,119.2712,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.67494756,Africa,Kenya,308.17004,122.98373,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.67443171,Africa,Ethiopia,341.57744,104.9468,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.67432034,Africa,Kenya,453.41387,111.48813,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.67346519,Africa,Kenya,251.4283,121.42868,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.67299281,Africa,Ethiopia,186.29486,104.88372,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.67238784,Africa,Ethiopia,415.46876,115.57182,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.67054332,Africa,Kenya,462.52447,124.13599,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.66841303,Africa,Kenya,444.02128,123.90128,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.6658573,Africa,Kenya,425.40553,118.59658,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.6640878,Africa,Kenya,351.30211,111.77047,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.66116284,Africa,Kenya,402.27912,116.90787,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.66013998,Africa,Ethiopia,251.25988,118.22218,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.65824037,Africa,Ethiopia,414.39422,117.03501,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.65690713,Africa,Kenya,345.59474,127.70803,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.65601168,Africa,Ethiopia,439.13485,105.1128,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.65163133,Africa,Ethiopia,316.56012,106.82804,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.65145564,Africa,Kenya,288.86516,125.04962,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.65136105,Africa,Kenya,328.8884,115.8556,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.64982847,Africa,Kenya,473.75289,110.47865,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.6497156,Africa,Kenya,346.735,124.99579,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.64939255,Africa,Kenya,470.17922,111.00077,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.6474845,Africa,Kenya,430.06487,114.434,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.64702528,Africa,Kenya,220.99414,123.50833,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.6469483,Africa,Kenya,222.9733,110.86289,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.64529187,Africa,Kenya,331.19667,126.86478,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.64431725,Africa,Kenya,220.76355,119.86276,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.64397144,Africa,Kenya,322.58581,129.89115,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.64225652,Africa,Ethiopia,331.86358,116.6192,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.64064546,Africa,Ethiopia,173.04778,103.0413,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.63862516,Africa,Ethiopia,267.51287,113.22826,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.63859419,Africa,Ethiopia,309.50562,101.18849,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.63845119,Africa,Ethiopia,204.40973,109.08198,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.63631225,Africa,Ethiopia,399.2878,111.94599,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.63507994,Africa,Kenya,428.61738,127.2179,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.63467345,Africa,Kenya,364.25542,125.9811,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.63398252,Africa,Kenya,348.72324,128.32704,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.63277717,Africa,Kenya,305.21334,125.69723,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.63245864,Africa,Kenya,229.0227,113.77477,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.62787279,Africa,Ethiopia,158.2903,114.55325,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.62672384,Africa,Ethiopia,382.44696,106.50777,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.62671443,Africa,Ethiopia,374.40763,104.12254,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.62484293,Africa,Kenya,311.22648,117.66526,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.62393988,Africa,Kenya,296.53577,123.09687,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.62308329,Africa,Ethiopia,180.12644,102.6236,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.62179959,Africa,Kenya,384.76328,129.79192,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.62158765,Africa,Ethiopia,356.06128,118.20299,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.62016351,Africa,Ethiopia,381.13306,112.95026,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.61888325,Africa,Kenya,218.42133,124.8275,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.61822779,Africa,Ethiopia,267.94726,100.68317,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.61799517,Africa,Ethiopia,304.63031,100.65801,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.61764649,Africa,Kenya,469.31329,126.19457,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.61743934,Africa,Kenya,435.04066,121.94552,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.61664636,Africa,Ethiopia,218.75348,102.43886,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.61662482,Africa,Ethiopia,371.72189,109.06318,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.6162155,Africa,Ethiopia,409.80573,119.63845,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.61526014,Africa,Ethiopia,393.15645,119.14152,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.61437615,Africa,Kenya,472.99081,116.06772,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.61279566,Africa,Kenya,481.00253,124.68824,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.61215845,Africa,Ethiopia,373.59027,103.39659,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.61000702,Africa,Ethiopia,269.29686,107.15919,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.60754573,Africa,Ethiopia,421.59231,108.23643,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.60591716,Africa,Kenya,221.99351,127.56014,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.60585807,Africa,Ethiopia,164.48251,102.95823,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.6047535,Africa,Ethiopia,409.50404,111.24065,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.60398972,Africa,Kenya,241.32033,110.45015,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.60273589,Africa,Kenya,280.52756,115.87054,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.60169975,Africa,Ethiopia,264.21278,115.6652,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
hominino Ardipithecus ramidus / kabadda,4.60023539,Africa,Ethiopia,266.05848,118.0278,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.59979173,Africa,Kenya,380.76166,116.51541,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
hominino Ardipithecus ramidus / kabadda,4.59831793,Africa,Ethiopia,159.47571,116.01335,small,high,semi-anterior,small,conicalls,thick-medium,no,no,soft fruits,wide
Australopithecus Anamensis,4.59767288,Africa,Kenya,214.40424,124.48567,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.59766653,Africa,Kenya,462.94068,115.32149,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.59746396,Africa,Kenya,455.1152,114.97846,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.59683513,Africa,Kenya,357.5321,114.68282,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.59629694,Africa,Kenya,487.12739,112.75559,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
